zip_code,city,state,latitude,longitude,timezone,dls,geopoint
68501,Lincoln,NE,40.865142,-96.823133,-6,1,"40.865142, -96.823133"
68502,Lincoln,NE,40.789051,-96.69589,-6,1,"40.789051, -96.69589"
68503,Lincoln,NE,40.823602,-96.67552,-6,1,"40.823602, -96.67552"
68504,Lincoln,NE,40.8442,-96.65563,-6,1,"40.8442, -96.65563"
68505,Lincoln,NE,40.82655,-96.62564,-6,1,"40.82655, -96.62564"
68506,Lincoln,NE,40.785557,-96.64599,-6,1,"40.785557, -96.64599"
68507,Lincoln,NE,40.85115,-96.62914,-6,1,"40.85115, -96.62914"
68508,Lincoln,NE,40.814191,-96.70744,-6,1,"40.814191, -96.70744"
68509,Lincoln,NE,40.784451,-96.688799,-6,1,"40.784451, -96.688799"
68510,Lincoln,NE,40.807106,-96.65634,-6,1,"40.807106, -96.65634"
68512,Lincoln,NE,40.7448,-96.69574,-6,1,"40.7448, -96.69574"
68514,Lincoln,NE,40.940125,-96.662138,-6,1,"40.940125, -96.662138"
68516,Lincoln,NE,40.749224,-96.64566,-6,1,"40.749224, -96.64566"
68517,Lincoln,NE,40.92185,-96.61495,-6,1,"40.92185, -96.61495"
68520,Lincoln,NE,40.798632,-96.59023,-6,1,"40.798632, -96.59023"
68521,Lincoln,NE,40.855645,-96.71298,-6,1,"40.855645, -96.71298"
68522,Lincoln,NE,40.790601,-96.74974,-6,1,"40.790601, -96.74974"
68523,Lincoln,NE,40.740529,-96.76178,-6,1,"40.740529, -96.76178"
68524,Lincoln,NE,40.859321,-96.79586,-6,1,"40.859321, -96.79586"
68526,Lincoln,NE,40.740833,-96.59122,-6,1,"40.740833, -96.59122"
68527,Lincoln,NE,40.849249,-96.53061,-6,1,"40.849249, -96.53061"
68528,Lincoln,NE,40.816765,-96.78598,-6,1,"40.816765, -96.78598"
68529,Lincoln,NE,40.879752,-96.779796,-6,1,"40.879752, -96.779796"
68531,Lincoln,NE,40.900801,-96.720143,-6,1,"40.900801, -96.720143"
68532,Lincoln,NE,40.796876,-96.8585,-6,1,"40.796876, -96.8585"
68588,Lincoln,NE,40.820645,-96.692843,-6,1,"40.820645, -96.692843"
